,case_no,status_dttm,status,code,value,description,violation_stno,violation_sthigh,violation_street,violation_suffix,violation_city,violation_state,violation_zip,ward,contact_addr1,contact_addr2,contact_city,contact_state,contact_zip,sam_id,latitude,longitude,location,neighborhood
1185,HVIOL-655612,2023-01-09 12:16:39,Open,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",457,,Old Colony,AVE,South Boston,MA,02127,07,10 Kemp Street,,south boston,Ma,02127,286692,42.32394000000973,-71.0531400012626,"42.32394000000973 , -71.0531400012626",South Boston
1186,HVIOL-655600,2023-01-09 11:49:01,Open,CMR410.201,,Temperature Requirements - Min. 68F between 7:00 AM and 11:00 PM; atleast 64F between 11:01 PM and 6:59 AM; Temp shall at no time exceed 78F during heating season.,11,,Islington,ST,Allston,MA,02134,21,48 Brighton Ave #2,,allston,MA,02134,79049,42.352729999781616,-71.1368300009178,"42.352729999781616 , -71.1368300009178",Allston
1187,HVIOL-655600,2023-01-09 11:49:01,Open,CMR410.201,,Temperature Requirements - Min. 68F between 7:00 AM and 11:00 PM; atleast 64F between 11:01 PM and 6:59 AM; Temp shall at no time exceed 78F during heating season.,11,,Islington,ST,Allston,MA,02134,21,48 Brighton Ave #2,,allston,MA,02134,79049,42.352729999781616,-71.1368300009178,"42.352729999781616 , -71.1368300009178",Allston
1188,HVIOL-655581,2023-01-09 11:09:06,Open,CMR410.201,,Temperature Requirements - Min. 68F between 7:00 AM and 11:00 PM; atleast 64F between 11:01 PM and 6:59 AM; Temp shall at no time exceed 78F during heating season.,133,,Peterborough,ST,Boston,MA,02215,21,109 E Peterborough St,,boston,MA,02215,292909,42.342903999996246,-71.10096600127439,"42.342903999996246 , -71.10096600127439",Fenway / Kenmore
1189,HVIOL-655581,2023-01-09 11:09:06,Open,CMR410.201,,Temperature Requirements - Min. 68F between 7:00 AM and 11:00 PM; atleast 64F between 11:01 PM and 6:59 AM; Temp shall at no time exceed 78F during heating season.,133,,Peterborough,ST,Boston,MA,02215,21,109 E Peterborough St,,boston,MA,02215,292909,42.342903999996246,-71.10096600127439,"42.342903999996246 , -71.10096600127439",Fenway / Kenmore
1190,HVIOL-655577,2023-01-09 11:06:18,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",50,,Bickford,ST,Jamaica Plain,MA,02130,10,30 Bickford Street,,boston,MA,02130,188459,42.32447000002689,-71.1015400012767,"42.32447000002689 , -71.1015400012767",Jamaica Plain
1191,HVIOL-655577,2023-01-09 11:06:18,Open,CMR410.550 A,,"Extermination of Insects, Rodents and Skunks - Occupant of a dwelling containing one dwelling unit shall maintain it and its premises free from all rodents, cockroaches and insect infestation and shall be responsible for exterminating them ",50,,Bickford,ST,Jamaica Plain,MA,02130,10,30 Bickford Street,,boston,MA,02130,188459,42.32447000002689,-71.1015400012767,"42.32447000002689 , -71.1015400012767",Jamaica Plain
1192,HVIOL-655577,2023-01-09 11:06:18,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",50,,Bickford,ST,Jamaica Plain,MA,02130,10,30 Bickford Street,,boston,MA,02130,188459,42.32447000002689,-71.1015400012767,"42.32447000002689 , -71.1015400012767",Jamaica Plain
1193,HVIOL-655577,2023-01-09 11:06:18,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",50,,Bickford,ST,Jamaica Plain,MA,02130,10,30 Bickford Street,,boston,MA,02130,188459,42.32447000002689,-71.1015400012767,"42.32447000002689 , -71.1015400012767",Jamaica Plain
1194,HVIOL-655577,2023-01-09 11:06:18,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",50,,Bickford,ST,Jamaica Plain,MA,02130,10,30 Bickford Street,,boston,MA,02130,188459,42.32447000002689,-71.1015400012767,"42.32447000002689 , -71.1015400012767",Jamaica Plain
1195,HVIOL-655577,2023-01-09 11:06:18,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",50,,Bickford,ST,Jamaica Plain,MA,02130,10,30 Bickford Street,,boston,MA,02130,188459,42.32447000002689,-71.1015400012767,"42.32447000002689 , -71.1015400012767",Jamaica Plain
1196,HVIOL-655577,2023-01-09 11:06:18,Open,CMR410.550 A,,"Extermination of Insects, Rodents and Skunks - Occupant of a dwelling containing one dwelling unit shall maintain it and its premises free from all rodents, cockroaches and insect infestation and shall be responsible for exterminating them ",50,,Bickford,ST,Jamaica Plain,MA,02130,10,30 Bickford Street,,boston,MA,02130,188459,42.32447000002689,-71.1015400012767,"42.32447000002689 , -71.1015400012767",Jamaica Plain
1197,HVIOL-655577,2023-01-09 11:06:18,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",50,,Bickford,ST,Jamaica Plain,MA,02130,10,30 Bickford Street,,boston,MA,02130,188459,42.32447000002689,-71.1015400012767,"42.32447000002689 , -71.1015400012767",Jamaica Plain
1198,HVIOL-655577,2023-01-09 11:06:18,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",50,,Bickford,ST,Jamaica Plain,MA,02130,10,30 Bickford Street,,boston,MA,02130,188459,42.32447000002689,-71.1015400012767,"42.32447000002689 , -71.1015400012767",Jamaica Plain
1199,HVIOL-655577,2023-01-09 11:06:18,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",50,,Bickford,ST,Jamaica Plain,MA,02130,10,30 Bickford Street,,boston,MA,02130,188459,42.32447000002689,-71.1015400012767,"42.32447000002689 , -71.1015400012767",Jamaica Plain
1201,HVIOL-655556,2023-01-09 10:26:46,Closed,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",240,,River,ST,Mattapan,MA,02126,18,87 Lafayette St.,,milton,MA,02186,299429,42.2712000000408,-71.0812000012733,"42.2712000000408 , -71.0812000012733",Mattapan
1202,HVIOL-655556,2023-01-09 10:26:46,Closed,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",240,,River,ST,Mattapan,MA,02126,18,87 Lafayette St.,,milton,MA,02186,299429,42.2712000000408,-71.0812000012733,"42.2712000000408 , -71.0812000012733",Mattapan
1203,HVIOL-655556,2023-01-09 10:26:46,Closed,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",240,,River,ST,Mattapan,MA,02126,18,87 Lafayette St.,,milton,MA,02186,299429,42.2712000000408,-71.0812000012733,"42.2712000000408 , -71.0812000012733",Mattapan
1204,HVIOL-655556,2023-01-09 10:26:46,Closed,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",240,,River,ST,Mattapan,MA,02126,18,87 Lafayette St.,,milton,MA,02186,299429,42.2712000000408,-71.0812000012733,"42.2712000000408 , -71.0812000012733",Mattapan
1205,HVIOL-655556,2023-01-09 10:26:46,Closed,CMR410.550 A,,"Extermination of Insects, Rodents and Skunks - Occupant of a dwelling containing one dwelling unit shall maintain it and its premises free from all rodents, cockroaches and insect infestation and shall be responsible for exterminating them ",240,,River,ST,Mattapan,MA,02126,18,87 Lafayette St.,,milton,MA,02186,299429,42.2712000000408,-71.0812000012733,"42.2712000000408 , -71.0812000012733",Mattapan
1206,HVIOL-655556,2023-01-09 10:26:46,Closed,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",240,,River,ST,Mattapan,MA,02126,18,87 Lafayette St.,,milton,MA,02186,299429,42.2712000000408,-71.0812000012733,"42.2712000000408 , -71.0812000012733",Mattapan
1207,HVIOL-655556,2023-01-09 10:26:46,Closed,CMR410.550 A,,"Extermination of Insects, Rodents and Skunks - Occupant of a dwelling containing one dwelling unit shall maintain it and its premises free from all rodents, cockroaches and insect infestation and shall be responsible for exterminating them ",240,,River,ST,Mattapan,MA,02126,18,87 Lafayette St.,,milton,MA,02186,299429,42.2712000000408,-71.0812000012733,"42.2712000000408 , -71.0812000012733",Mattapan
1208,HVIOL-655556,2023-01-09 10:26:46,Closed,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",240,,River,ST,Mattapan,MA,02126,18,87 Lafayette St.,,milton,MA,02186,299429,42.2712000000408,-71.0812000012733,"42.2712000000408 , -71.0812000012733",Mattapan
1209,HVIOL-655556,2023-01-09 10:26:46,Closed,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",240,,River,ST,Mattapan,MA,02126,18,87 Lafayette St.,,milton,MA,02186,299429,42.2712000000408,-71.0812000012733,"42.2712000000408 , -71.0812000012733",Mattapan
1210,HVIOL-655556,2023-01-09 10:26:46,Closed,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",240,,River,ST,Mattapan,MA,02126,18,87 Lafayette St.,,milton,MA,02186,299429,42.2712000000408,-71.0812000012733,"42.2712000000408 , -71.0812000012733",Mattapan
1211,HVIOL-655547,2023-01-09 09:52:34,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",516,,Warren,ST,Dorchester,MA,02121,12,530 warren Street,,boston,MA,02121,143296,42.31403699958801,-71.08341700106688,"42.31403699958801 , -71.08341700106688",Roxbury
1212,HVIOL-655547,2023-01-09 09:52:34,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",516,,Warren,ST,Dorchester,MA,02121,12,530 warren Street,,boston,MA,02121,143296,42.31403699958801,-71.08341700106688,"42.31403699958801 , -71.08341700106688",Roxbury
1213,HVIOL-655547,2023-01-09 09:52:34,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",516,,Warren,ST,Dorchester,MA,02121,12,530 warren Street,,boston,MA,02121,143296,42.31403699958801,-71.08341700106688,"42.31403699958801 , -71.08341700106688",Roxbury
1214,HVIOL-655547,2023-01-09 09:52:34,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",516,,Warren,ST,Dorchester,MA,02121,12,530 warren Street,,boston,MA,02121,143296,42.31403699958801,-71.08341700106688,"42.31403699958801 , -71.08341700106688",Roxbury
1216,HVIOL-655544,2023-01-09 09:36:41,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",9,,Linden,ST,Allston,MA,02134,21,9 Linden  Street Apt B,,boston,MA,02134,264909,42.355550000018354,-71.13120000125154,"42.355550000018354 , -71.13120000125154",Allston
1217,HVIOL-655544,2023-01-09 09:36:41,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",9,,Linden,ST,Allston,MA,02134,21,9 Linden  Street Apt B,,boston,MA,02134,264909,42.355550000018354,-71.13120000125154,"42.355550000018354 , -71.13120000125154",Allston
1218,HVIOL-655544,2023-01-09 09:36:41,Open,CMR410.501 A,,Weathertight Windows,9,,Linden,ST,Allston,MA,02134,21,9 Linden  Street Apt B,,boston,MA,02134,264909,42.355550000018354,-71.13120000125154,"42.355550000018354 , -71.13120000125154",Allston
1219,HVIOL-655544,2023-01-09 09:36:41,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",9,,Linden,ST,Allston,MA,02134,21,9 Linden  Street Apt B,,boston,MA,02134,264909,42.355550000018354,-71.13120000125154,"42.355550000018354 , -71.13120000125154",Allston
1220,HVIOL-655544,2023-01-09 09:36:41,Open,CMR410.501 A,,Weathertight Windows,9,,Linden,ST,Allston,MA,02134,21,9 Linden  Street Apt B,,boston,MA,02134,264909,42.355550000018354,-71.13120000125154,"42.355550000018354 , -71.13120000125154",Allston
1221,HVIOL-655544,2023-01-09 09:36:41,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",9,,Linden,ST,Allston,MA,02134,21,9 Linden  Street Apt B,,boston,MA,02134,264909,42.355550000018354,-71.13120000125154,"42.355550000018354 , -71.13120000125154",Allston
1223,HVIOL-655544,2023-01-09 09:36:41,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",9,,Linden,ST,Allston,MA,02134,21,9 Linden  Street Apt B,,boston,MA,02134,264909,42.355550000018354,-71.13120000125154,"42.355550000018354 , -71.13120000125154",Allston
1224,HVIOL-655544,2023-01-09 09:36:41,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",9,,Linden,ST,Allston,MA,02134,21,9 Linden  Street Apt B,,boston,MA,02134,264909,42.355550000018354,-71.13120000125154,"42.355550000018354 , -71.13120000125154",Allston
1225,HVIOL-655544,2023-01-09 09:36:41,Open,CMR410.501 A,,Weathertight Windows,9,,Linden,ST,Allston,MA,02134,21,9 Linden  Street Apt B,,boston,MA,02134,264909,42.355550000018354,-71.13120000125154,"42.355550000018354 , -71.13120000125154",Allston
1227,HVIOL-655535,2023-01-09 09:02:25,Open,CMR410.482 A,,"Smoke Detectors & Carbon Monoxide Alarms - Owner shall provide, install and maintain in operable condition smoke detectors and carbon monoxide alarms",4,,Egret,Wy,Dorchester,MA,02126,14,2 Hummingbird Lane,,boston,MA,02126,454206,42.28617659689985,-71.09769391768248,"42.28617659689985 , -71.09769391768248",Mattapan
1228,HVIOL-655535,2023-01-09 09:02:25,Open,CMR410.482 A,,"Smoke Detectors & Carbon Monoxide Alarms - Owner shall provide, install and maintain in operable condition smoke detectors and carbon monoxide alarms",4,,Egret,Wy,Dorchester,MA,02126,14,2 Hummingbird Lane,,boston,MA,02126,454206,42.28617659689985,-71.09769391768248,"42.28617659689985 , -71.09769391768248",Mattapan
1229,HVIOL-655535,2023-01-09 09:02:25,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",4,,Egret,Wy,Dorchester,MA,02126,14,2 Hummingbird Lane,,boston,MA,02126,454206,42.28617659689985,-71.09769391768248,"42.28617659689985 , -71.09769391768248",Mattapan
1230,HVIOL-655535,2023-01-09 09:02:25,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",4,,Egret,Wy,Dorchester,MA,02126,14,2 Hummingbird Lane,,boston,MA,02126,454206,42.28617659689985,-71.09769391768248,"42.28617659689985 , -71.09769391768248",Mattapan
1234,HVIOL-655324,2023-01-06 15:29:19,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",181,,Ruskindale,RD,Mattapan,MA,02126,18,179 Ruskindale Rd.,,boston,MA,02136,302235,42.26645999996944,-71.1041300012672,"42.266459999969435 , -71.1041300012672",Hyde Park
1235,HVIOL-655324,2023-01-06 15:29:19,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",181,,Ruskindale,RD,Mattapan,MA,02126,18,179 Ruskindale Rd.,,boston,MA,02136,302235,42.26645999996944,-71.1041300012672,"42.266459999969435 , -71.1041300012672",Hyde Park
1236,HVIOL-655324,2023-01-06 15:29:19,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",181,,Ruskindale,RD,Mattapan,MA,02126,18,179 Ruskindale Rd.,,boston,MA,02136,302235,42.26645999996944,-71.1041300012672,"42.266459999969435 , -71.1041300012672",Hyde Park
1237,HVIOL-655324,2023-01-06 15:29:19,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",181,,Ruskindale,RD,Mattapan,MA,02126,18,179 Ruskindale Rd.,,boston,MA,02136,302235,42.26645999996944,-71.1041300012672,"42.266459999969435 , -71.1041300012672",Hyde Park
1238,HVIOL-655324,2023-01-06 15:29:19,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",181,,Ruskindale,RD,Mattapan,MA,02126,18,179 Ruskindale Rd.,,boston,MA,02136,302235,42.26645999996944,-71.1041300012672,"42.266459999969435 , -71.1041300012672",Hyde Park
1239,HVIOL-655324,2023-01-06 15:29:19,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",181,,Ruskindale,RD,Mattapan,MA,02126,18,179 Ruskindale Rd.,,boston,MA,02136,302235,42.26645999996944,-71.1041300012672,"42.266459999969435 , -71.1041300012672",Hyde Park
1240,HVIOL-655324,2023-01-06 15:29:19,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",181,,Ruskindale,RD,Mattapan,MA,02126,18,179 Ruskindale Rd.,,boston,MA,02136,302235,42.26645999996944,-71.1041300012672,"42.266459999969435 , -71.1041300012672",Hyde Park
1241,HVIOL-655324,2023-01-06 15:29:19,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",181,,Ruskindale,RD,Mattapan,MA,02126,18,179 Ruskindale Rd.,,boston,MA,02136,302235,42.26645999996944,-71.1041300012672,"42.266459999969435 , -71.1041300012672",Hyde Park
1243,HVIOL-655318,2023-01-06 14:34:21,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",1990,,Columbus,AVE,Roxbury,MA,02119,11,1990 Columbus Ave. c/o George McGrath,,boston,MA,02119,211468,42.31531999996479,-71.0972000011838,"42.31531999996479 , -71.0972000011838",Roxbury
1244,HVIOL-655318,2023-01-06 14:34:21,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",1990,,Columbus,AVE,Roxbury,MA,02119,11,1990 Columbus Ave. c/o George McGrath,,boston,MA,02119,211468,42.31531999996479,-71.0972000011838,"42.31531999996479 , -71.0972000011838",Roxbury
1245,HVIOL-655318,2023-01-06 14:34:21,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",1990,,Columbus,AVE,Roxbury,MA,02119,11,1990 Columbus Ave. c/o George McGrath,,boston,MA,02119,211468,42.31531999996479,-71.0972000011838,"42.31531999996479 , -71.0972000011838",Roxbury
1246,HVIOL-655318,2023-01-06 14:34:21,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",1990,,Columbus,AVE,Roxbury,MA,02119,11,1990 Columbus Ave. c/o George McGrath,,boston,MA,02119,211468,42.31531999996479,-71.0972000011838,"42.31531999996479 , -71.0972000011838",Roxbury
1247,HVIOL-655317,2023-01-06 14:06:19,Open,CMR410.550 B,,"Extermination of Insects, Rodents and Skunks - The owner of a dwelling containing two or more dwelling units shall maintain it and its premises free from all rodents, cockroaches and insect infestation and shall be responsible for exterminating them",24,,Dunreath,ST,Boston,MA,02119,12,74 CLARENDON ST,,boston,MA,02116,374571,42.32329000000435,-71.08080000123259,"42.32329000000435 , -71.08080000123259",Roxbury
1250,HVIOL-655317,2023-01-06 14:06:19,Open,CMR410.550 B,,"Extermination of Insects, Rodents and Skunks - The owner of a dwelling containing two or more dwelling units shall maintain it and its premises free from all rodents, cockroaches and insect infestation and shall be responsible for exterminating them",24,,Dunreath,ST,Boston,MA,02119,12,74 CLARENDON ST,,boston,MA,02116,374571,42.32329000000435,-71.08080000123259,"42.32329000000435 , -71.08080000123259",Roxbury
1251,HVIOL-655315,2023-01-06 13:52:59,Open,CMR410.550 A,,"Extermination of Insects, Rodents and Skunks - Occupant of a dwelling containing one dwelling unit shall maintain it and its premises free from all rodents, cockroaches and insect infestation and shall be responsible for exterminating them ",100,,Concord,ST,Roxbury,MA,02118,09,185 Dudley Street,,boston,MA,02119,217991,42.33881000003724,-71.07627000118947,"42.338810000037235 , -71.07627000118947",South End
1252,HVIOL-655315,2023-01-06 13:52:59,Open,CMR410.550 A,,"Extermination of Insects, Rodents and Skunks - Occupant of a dwelling containing one dwelling unit shall maintain it and its premises free from all rodents, cockroaches and insect infestation and shall be responsible for exterminating them ",100,,Concord,ST,Roxbury,MA,02118,09,185 Dudley Street,,boston,MA,02119,217991,42.33881000003724,-71.07627000118947,"42.338810000037235 , -71.07627000118947",South End
1253,HVIOL-655313,2023-01-06 13:41:34,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",96,,Alban,ST,Dorchester,MA,02124,17,42 Mellen Street,,dorchester,MA,02124,1472,42.28808000002165,-71.06707000120274,"42.288080000021644 , -71.06707000120274",Dorchester
1254,HVIOL-655313,2023-01-06 13:41:34,Open,CMR410.351 B,,Owners Installation/Maintenance Responsibility - All Owner-installed optional equipment,96,,Alban,ST,Dorchester,MA,02124,17,42 Mellen Street,,dorchester,MA,02124,1472,42.28808000002165,-71.06707000120274,"42.288080000021644 , -71.06707000120274",Dorchester
1255,HVIOL-655313,2023-01-06 13:41:34,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",96,,Alban,ST,Dorchester,MA,02124,17,42 Mellen Street,,dorchester,MA,02124,1472,42.28808000002165,-71.06707000120274,"42.288080000021644 , -71.06707000120274",Dorchester
1256,HVIOL-655313,2023-01-06 13:41:34,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",96,,Alban,ST,Dorchester,MA,02124,17,42 Mellen Street,,dorchester,MA,02124,1472,42.28808000002165,-71.06707000120274,"42.288080000021644 , -71.06707000120274",Dorchester
1257,HVIOL-655313,2023-01-06 13:41:34,Open,CMR410.351 B,,Owners Installation/Maintenance Responsibility - All Owner-installed optional equipment,96,,Alban,ST,Dorchester,MA,02124,17,42 Mellen Street,,dorchester,MA,02124,1472,42.28808000002165,-71.06707000120274,"42.288080000021644 , -71.06707000120274",Dorchester
1258,HVIOL-655313,2023-01-06 13:41:34,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",96,,Alban,ST,Dorchester,MA,02124,17,42 Mellen Street,,dorchester,MA,02124,1472,42.28808000002165,-71.06707000120274,"42.288080000021644 , -71.06707000120274",Dorchester
1259,HVIOL-655290,2023-01-06 11:04:58,Open,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",755,,Tremont,ST,Roxbury,MA,02118,04,755 Tremont st,,roxbury,MA,02118,322439,42.34012000000469,-71.07938000122218,"42.34012000000469 , -71.07938000122218",South End
1260,HVIOL-655290,2023-01-06 11:04:58,Open,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",755,,Tremont,ST,Roxbury,MA,02118,04,755 Tremont st,,roxbury,MA,02118,322439,42.34012000000469,-71.07938000122218,"42.34012000000469 , -71.07938000122218",South End
1261,HVIOL-655290,2023-01-06 11:04:58,Open,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",755,,Tremont,ST,Roxbury,MA,02118,04,755 Tremont st,,roxbury,MA,02118,322439,42.34012000000469,-71.07938000122218,"42.34012000000469 , -71.07938000122218",South End
1262,HVIOL-655282,2023-01-06 10:39:52,Closed,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",38,,Normandy,ST,Dorchester,MA,02121,14,200 Columbia Road,,dorchester,MA,02121,284081,42.31072999996462,-71.07859000123742,"42.31072999996462 , -71.07859000123742",Roxbury
1264,HVIOL-655282,2023-01-06 10:39:52,Closed,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",38,,Normandy,ST,Dorchester,MA,02121,14,200 Columbia Road,,dorchester,MA,02121,284081,42.31072999996462,-71.07859000123742,"42.31072999996462 , -71.07859000123742",Roxbury
1265,HVIOL-655282,2023-01-06 10:39:52,Closed,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",38,,Normandy,ST,Dorchester,MA,02121,14,200 Columbia Road,,dorchester,MA,02121,284081,42.31072999996462,-71.07859000123742,"42.31072999996462 , -71.07859000123742",Roxbury
1266,HVIOL-655282,2023-01-06 10:39:52,Closed,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",38,,Normandy,ST,Dorchester,MA,02121,14,200 Columbia Road,,dorchester,MA,02121,284081,42.31072999996462,-71.07859000123742,"42.31072999996462 , -71.07859000123742",Roxbury
1267,HVIOL-655277,2023-01-06 10:17:43,Open,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",31,,Regina,RD,Dorchester,MA,02124,17,31 Regina Rd,apt 5,dorchester,MA,02124,297874,42.2953300000044,-71.07023000125643,"42.2953300000044 , -71.07023000125643",Dorchester
1268,HVIOL-655277,2023-01-06 10:17:43,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",31,,Regina,RD,Dorchester,MA,02124,17,31 Regina Rd,apt 5,dorchester,MA,02124,297874,42.2953300000044,-71.07023000125643,"42.2953300000044 , -71.07023000125643",Dorchester
1269,HVIOL-655277,2023-01-06 10:17:43,Open,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",31,,Regina,RD,Dorchester,MA,02124,17,31 Regina Rd,apt 5,dorchester,MA,02124,297874,42.2953300000044,-71.07023000125643,"42.2953300000044 , -71.07023000125643",Dorchester
